title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Unity Mission Bible Institute,North,1530 N. 16th St.,Philadelphia,PA,19121,dwelling,fulldata_220,ca. 1876-1883,1876;1883,39.977376,-75.16191,,,,
Walters Memorial Church,North,N. 10th St. above Girard Ave.,Philadelphia,PA,19122,church,fulldata_221,,,39.990821,-75.168428,,,,
Wayland Church Site #1,North,680 N. Broad St.,Philadelphia,PA,19130,church,fulldata_222,,,39.966622,-75.160858,,,,
Wayland Church Site #2,North,23rd and W. Jefferson Sts.,Philadelphia,PA,19121,church,fulldata_223,,,39.990821,-75.168428,,,,
Wharton Centre,North,1704-1712 N. 22nd St.,Philadelphia,PA,19121,settlement house,fulldata_224,,,39.969626,-75.173848,,,,
York Street Baptist Church,North,York at 28th St.,Philadelphia,PA,19132,church,fulldata_225,,,39.996262,-75.170855,,,,
Zion Baptist Church Building #1 / Bethany A.M.E. Church,North,1525-1529 Brandywine St.,Philadelphia,PA,19130,church,fulldata_226,ca. 1887,1887,39.962747,-75.160234,,,,
Zion Baptist Church Site,North,658-664 N. 13th St.,Philadelphia,PA,19123,church,fulldata_227,,,40.041745,-75.141887,,,,
Zoar Methodist Church Site,North,409 Brown St.,Philadelphia,PA,19123,church,fulldata_228,,,39.964018,-75.144913,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC3-IFz85M-EMTeWkvu4VNtOXDyCjiv3GZnYs3Hz1f62Q1rqjUnQQshUKgWfUGoI3LPvA&usqp=CAU,,image/jpeg
Bethany A.M.E. Church,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,church,fulldata_229,"early 19th century; Elias Chase, builder",1900s,40.0421776,-75.1795724,"Elias Chase, builder",https://i0.wp.com/billypenn.com/wp-content/uploads/2024/01/01-12-2024-k-paynter-mother-bethel-ame-2-scaled.jpg,,image/jpeg
Beneficial Savings Bank (Kensington Branch),Northeast,826 E. Allegheny Ave.,Philadelphia,PA,19134,bank,fulldata_230,"ca. 1923, Horace Trumbauer (Julian Abele)",1923,29.5792378,-95.7660489,Horace Trumbauer (Julian Abele),,,
Episcopal Hospital / Temple University Hospital Episcopal Campus,Northeast,100 E. Lehigh Ave.,Philadelphia,PA,19125,hospital,fulldata_231,"ca. 1933, Horace Trumbauer (Julian Abele)",1933,39.989821,-75.129209,Horace Trumbauer (Julian Abele),,,
James Grady House,Northeast,4615 Aubrey St.,Philadelphia,PA,19114,dwelling,fulldata_232,"ca. 1948, James Plater",1948,39.990821,-75.168428,James Plater,,,
Wilmot Public School,Northeast,1734 Meadow St.,Philadelphia,PA,19124,school,fulldata_233,"1874, Lewis Esler",1874,40.014491,-75.081739,Lewis Esler,,,
Greenbelt Knoll,Northeast,Longford St. and Holme Ave.,Philadelphia,PA,19136,housing development,fulldata_234,"1956, Montgomery & Bishop",1956,39.990821,-75.168428,Montgomery & Bishop,,,
