title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Bensalem A.M.E. Church / Little Jerusalem A.M.E. Church,Bucks County,1200 Bridgewater Rd.,Bensalem,PA,19020,church,fulldata_01,"ca. 1832; alterations, 1860, 1896",1832;1860;1896,40.0007282,-75.1705032,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/BensalemPA_JerusalemAMEChurch.jpg/1920px-BensalemPA_JerusalemAMEChurch.jpg,"By User:Magicpiano - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=19246380",image/jpeg
19th District Police Station,Center City,825 Lombard St.,Philadelphia,PA,19147,police station,fulldata_02,"1908, Bissell & Sinkler",1908,37.8023986,-122.4151506,Bissell & Sinkler,,,
London Coffee House,Center City,Front and Market Sts.,Philadelphia,PA,19106,,fulldata_03,"1702, Charles Reed",1702,39.949809,-75.14413,Charles Reed,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/The_London_coffee_house_-_THM._LCCN92520160.jpg/1505px-The_London_coffee_house_-_THM._LCCN92520160.jpg,"By Mumford, Thomas Howland, 1816-, engraver - Library of CongressCatalog: https://lccn.loc.gov/92520160Image download: https://cdn.loc.gov/service/pnp/cph/3c00000/3c06000/3c06800/3c06832v.jpgOriginal url: https://www.loc.gov/pictures/item/92520160/, Public Domain, https://commons.wikimedia.org/w/index.php?curid=68136125",image/jpeg
Central Baptist Church Building / New Central Baptist Church Building,Center City,2127-2139 Lombard St.,Philadelphia,PA,19146,church,fulldata_04,"1922, Druckenmiller & Williams; alterations, 1936, Richard R. Neely",1922;1936,44.5383717,-123.3593121,Druckenmiller & Williams;Richard R. Neely,,,
Royal Theater,Center City,1524-1534 South St.,Philadelphia,PA,19146,theater,fulldata_05,"1919, Frank E. Hahn",1919,39.943754,-75.166382,Frank E. Hahn,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/RoyalTheaterPhilly.JPG/1600px-RoyalTheaterPhilly.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9488951",image/jpeg
Pennsylvania Academy of Fine Arts,Center City,118-26 N. Broad St.,Philadelphia,PA,19102,museum; school,fulldata_06,"1872, 1876; Frank Furness",1872;1876;,39.955217,-75.163669,Frank Furness,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Pennsylvania_Academy_of_the_Fine_Arts_building.jpg/1920px-Pennsylvania_Academy_of_the_Fine_Arts_building.jpg,"By Difference engine - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=59390739",image/jpeg
African Episcopal Church of St. Thomas Site #2,Center City,203-209 S. 12th St.,Philadelphia,PA,19107,church,fulldata_07,"1889-1890, Frank Miller",1889;1890,39.9484753,-75.1603797,Frank Miller,https://upload.wikimedia.org/wikipedia/commons/3/30/African_Episcopal_Church_of_St._Thomas.jpg,"By unknown but June 1829 - http://archive.episcopalchurch.org/images/AAM_parchment_photo1829.jpg, Public Domain, https://commons.wikimedia.org/w/index.php?curid=32494834",image/jpeg
Washington Square,Center City,6th and Walnut St.,Philadelphia,PA,19106,park; cemetery,fulldata_08,"1683, 1911; G. Bridgeport, JohnHaviland",1683;1911;,39.990821,-75.168428,"G. Bridgeport, John Haviland",https://upload.wikimedia.org/wikipedia/commons/3/37/Washington_Square_2018.jpg,"By Ii2nmd at English Wikipedia, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=75085115",image/jpeg
Mother Bethel A.M.E. Church,Center City,419 S. 6th St.,Philadelphia,PA,19147,church; museum,fulldata_09,"1794; 1889, Hazlehurst & Huckel",1794; 1889,39.943333,-75.151737,Hazlehurst & Huckel,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Mother_Bethel_Philly_a.JPG/1920px-Mother_Bethel_Philly_a.JPG,"By Smallbones - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=31144257",image/jpeg
Durham Public School / Independent Charter School,Center City,1600 Lombard St.,Philadelphia,PA,19146,school,fulldata_10,"1909-1910, Henry deCourcy Richards",1909;1910,39.972633,-75.155743,Henry deCourcy Richards,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Durham_School_in_Philly.JPG/1920px-Durham_School_in_Philly.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9550522",image/jpeg
Earle Theater,Center City,11th and Market Sts.,Philadelphia,PA,19107,theater,fulldata_11,"1921-1924, Hoffman-Henon Co.; alterations, 1925, 1928, Hoffman-Henon Co.; demolished 1953",1921;1924;1925;1928;1953,39.919528,-75.276247,Hoffman-Henon Co.;Hoffman-Henon Co.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Earle_theater_Philadelphia_1928.jpg/440px-Earle_theater_Philadelphia_1928.jpg,"By York Ice Machinery - Motion Picture News, Public Domain, https://commons.wikimedia.org/w/index.php?curid=95627005",image/jpeg
Chateau Crillon Apartment Building,Center City,222 S. 19th St.,Philadelphia,PA,19103,apartment house,fulldata_12,"1928, Horace Trumbauer (Julian Abele)",1928,39.9418565,-75.165939,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Chateau_Crillon_2.JPG/800px-Chateau_Crillon_2.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9585798",image/jpeg
"Free Library of Philadelphia, Central Branch",Center City,1901 Vine St.,Philadelphia,PA,19103,library,fulldata_13,"ca. 1927, Horace Trumbauer (Julian Abele)",1927,39.95993,-75.170948,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/The_Free_Library_of_Philadelphia.jpg/1920px-The_Free_Library_of_Philadelphia.jpg,"By Nanoman657 - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15303888",image/jpeg
Hahnemann Medical College Out-patient's Building,Center City,15th St. above Race St.,Philadelphia,PA,19102,,fulldata_14,"ca. 1947, Horace Trumbauer (Julian Abele)",1947,39.990821,-75.168428,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/History_of_the_Homoeopathic_Medical_College_of_Pennsylvania_-_the_Hahnemann_Medical_College_and_Hospital_of_Philadelphia_%281898%29_%2814577881388%29.jpg/1280px-History_of_the_Homoeopathic_Medical_College_of_Pennsylvania_-_the_Hahnemann_Medical_College_and_Hospital_of_Philadelphia_%281898%29_%2814577881388%29.jpg,"By Internet Archive Book Images - https://www.flickr.com/photos/internetarchivebookimages/14577881388/Source book page: https://archive.org/stream/historyofhomoeop00brad/historyofhomoeop00brad#page/n254/mode/1up, No restrictions, https://commons.wikimedia.org/w/index.php?curid=43675478",image/jpeg
Jefferson Medical College Curtis Building,Center City,1015 Walnut St.,Philadelphia,PA,19107,,fulldata_15,"ca. 1929, Horace Trumbauer (Julian Abele)",1929,39.948773,-75.157591,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Jefferson_University_College_and_Curtis_Buildings_1025_Walnut_Street.jpg/1024px-Jefferson_University_College_and_Curtis_Buildings_1025_Walnut_Street.jpg?20130530194111,"By Beyond My Ken - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=26408466",image/jpeg
Philadelphia Stock Exchange,Center City,1409 Walnut St.,Philadelphia,PA,19102,stock exchange,fulldata_16,"1911, 1927, Horace Trumbauer (Julian Abele)",1911;1927,39.949649,-75.16673,Horace Trumbauer (Julian Abele),,,
All-Wars Memorial to Black Soldiers,Center City,19th and the Parkway,Philadelphia,PA,19103,monument,fulldata_17,"1934, J. Otto Schweizer",1934,39.9739597,-75.1631341,J. Otto Schweizer,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/All_Wars_Memorial_to_Colored_Soldiers_and_Sailors_-_Philadelphia%2C_PA_-_DSC06524.JPG/1024px-All_Wars_Memorial_to_Colored_Soldiers_and_Sailors_-_Philadelphia%2C_PA_-_DSC06524.JPG,"By Daderot - Self-photographed, Public Domain, https://commons.wikimedia.org/w/index.php?curid=17110692",image/jpeg
P.J. Augustine Restaurant,Center City,1105 Walnut St.,Philadelphia,PA,19107,restaurant,fulldata_18,"ca. 1901, J. Stuckert",1901,39.948947,-75.159239,J. Stuckert,,,
Christ Church,Center City,20 N. American St.,Philadelphia,PA,19106,church,fulldata_19,"1727-1754, John Kearsley; numerous alterations",1727;1754,39.9859239,-75.1632481,John Kearsley,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Christ_Church_Phila_crop.JPG/500px-Christ_Church_Phila_crop.JPG,"By PVSBond at English Wikipedia, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=18750815",image/jpeg
Shiloh Baptist Church #2 / Church of the Ascension,Center City,1112-1120 Lombard St.,Philadelphia,PA,19147,church,fulldata_20,"ca. 1836; alterations, 1846-1850, John Notman; alterations, 1900, Isaac Pursell; extensive alterations for secular use",1836;1846;1850;1900,39.943947,-75.159541,John Notman;Isaac Pursell,,,
Philadelphia Knights of Pythias,Center City,19th and Addison Sts.,Philadelphia,PA,19146,,fulldata_21,"1923, Lackman & Murphy",1923,39.990821,-75.168428,Lackman & Murphy,https://upload.wikimedia.org/wikipedia/commons/6/66/GreenwoodSign.jpg,"By BillFlis - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=5658134",image/jpeg
Arch Street Friends Meeting House,Center City,302-338 Arch St.,Philadelphia,PA,19106,church,fulldata_22,"1804, O. Biddle",1804,39.9447626,-75.1674205,O. Biddle,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Arch_Street_Friends_Meeting_House_%2853572939205%29.jpg/2560px-Arch_Street_Friends_Meeting_House_%2853572939205%29.jpg,"By ajay_suresh - Arch Street Friends Meeting House, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=146141631",image/jpeg
Engine 11 Fire Station,Center City,1016-18 South St.,Philadelphia,PA,19147,fire station,fulldata_23,"ca. 1902, Philip Johnson",1902,39.942643,-75.159251,Philip Johnson,https://upload.wikimedia.org/wikipedia/commons/a/ab/Engine_11_%28145711785%29.jpeg,"By Jason Knauer - Imported from 500px (archived version) by the Archive Team. (detail page), CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=84709460",image/jpeg
Standard Theater,Center City,1124-8 South St.,Philadelphia,PA,19147,theater,fulldata_24,"alterations, 1889, Rowe & Dagit; alterations, 1892, A. Wade",1889;1892,39.943754,-75.166382,Rowe & Dagit;A. Wade,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Gibson%27s_New_Standard_Theatre_Philadelphia_PA_%281919%29.jpg/792px-Gibson%27s_New_Standard_Theatre_Philadelphia_PA_%281919%29.jpg,"By Editor-in-Chief Clement Richardson - The National Cyclopedia of the Colored Race, Editor-in-Chief Clement Richardson (1919) National Publishing Co., Inc. Montgomery AL (https://archive.org/details/nationalcycloped01richrich/page/n4), Public Domain, https://commons.wikimedia.org/w/index.php?curid=83211989",image/jpeg
"Allen Chapel / Phillips Brooks Chapel / ""St. Phillip's Church""",Center City,1923-27 Lombard St.,Philadelphia,PA,19146,church,fulldata_25,"ca. 1873; substantial alterations or re-building, ca. 1930, Thomas Early",1873;1930,39.9525122,-75.1717416,Thomas Early,,,
St. Peter Claver Roman Catholic Church / Fourth Presbyterian Church,Center City,1200-1210 Lombard St.,Philadelphia,PA,19147,church,fulldata_26,"1841-1842, Thomas Ustick Walter; alterations and rectory, 1895, E. F. Durang",1841;1842;1895,39.943947,-75.159541,Thomas Ustick Walter;E. F. Durang,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/St_Peter_Claver_Catholic_Church_Historical_Marker_1200_Lombard_St_Philadelphia_PA_%28DSC_3200%29.jpg/1920px-St_Peter_Claver_Catholic_Church_Historical_Marker_1200_Lombard_St_Philadelphia_PA_%28DSC_3200%29.jpg?20191120212640,"By Nick-philly - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=84184051",image/jpeg
Grand United Order of Odd Fellows,Center City,1201 Spruce St.,Philadelphia,PA,19107,office building,fulldata_27,"1906, Watson & Huckel",1906,39.946767,-75.161127,Watson & Huckel,,,
Central Presbyterian Church / Lombard Street Central Presbyterian Church Building #1,Center City,832-836 Lombard St.,Philadelphia,PA,19147,church,fulldata_28,"ca. 1845, William L. Johnston",1845,39.9404889,-75.17214,William L. Johnston,,,
St. Paul Church / Mask and Wig Club,Center City,312 S. Quince St.,Philadelphia,PA,19107,church,fulldata_29,"ca. 1834; alterations, 1843-1853; alterations, 1894, 1903, Wilson Eyre",1834;1843;1853;1894;1903,39.94644,-75.160266,Wilson Eyre,https://upload.wikimedia.org/wikipedia/commons/4/4f/Mask%26Wig.jpg,"By George A. Eisenman, HABS photographer - Library of Congress, Historic American Buildings Survey, HABS PA,51-PHILA,551-1, Public Domain, https://commons.wikimedia.org/w/index.php?curid=7878092",image/jpeg
A. M. E. Book Concern,Center City,631 Pine St.,Philadelphia,PA,19106,,fulldata_30,,,39.944173,-75.1529647,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/A_M_E_Book_Concern_Historical_Marker_631_Pine_St_Philadelphia_PA_%28DSC_3438%29.jpg/1920px-A_M_E_Book_Concern_Historical_Marker_631_Pine_St_Philadelphia_PA_%28DSC_3438%29.jpg?20191120212629,"By Nick-philly - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=84184041",image/jpeg
African Episcopal Church of St. Thomas Site #1,Center City,5th St. and St. James St.,Philadelphia,PA,19106,church,fulldata_31,ca. 1794,1794,47.6033143,-122.3286976,,,,
Afro-American Insurance Company,Center City,"159, 529 Lombard St.",Philadelphia,PA,19147,,fulldata_32,,,41.3146184,-72.9019218,,,,
Armstrong Association of Philadelphia,Center City,1508 Lombard St.,Philadelphia,PA,19146,,fulldata_33,ca. 1860,1860,48.159863,-122.520964,,,,
Association Hall,Center City,15th and Chestnut Sts.,Philadelphia,PA,19102,hall,fulldata_34,,,39.9755294,-75.1468485,,,,
Augustine Society Seminary,Center City,6th and Addison Sts.,Philadelphia,PA,19147,school,fulldata_35,,,39.943243,-75.1682641,,,,
Beneficial Hall,Center City,600 block Lombard St.,Philadelphia,PA,19147,hall,fulldata_36,,,39.9464341,-75.1473536,,,,
Benezet's School / Quaker African School House,Center City,Willings Alley,Philadelphia,PA,19106,school,fulldata_37,,,40.0991261,-74.9235652,,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,,image/jpeg
Benjamin Banneker Institute,Center City,409 S. 11th St.,Philadelphia,PA,19147,,fulldata_38,,,39.963052,-75.198687,,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,,image/jpeg
Bethel Home for Fallen Women,Center City,near 6th and Lombard Sts.,Philadelphia,PA,19147,,fulldata_39,,,40.436229,-122.4210333,,,,
Broad Street USO / Stage Door Canteen,Center City,500 S. Broad St.,Philadelphia,PA,19146,,fulldata_40,,,40.0467725,-75.1927263,,,,
Brown and Stevens Bank,Center City,Broad and Lombard Sts.,Philadelphia,PA,19147,bank,fulldata_41,,,39.9439924,-75.161052,,,,
"C. Henry Wilson, II Office",Center City,1130 Lombard St.,Philadelphia,PA,19147,office building,fulldata_42,,,40.0132116,-75.0847266,,,,
California House,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,hotel; tavern,fulldata_43,,,40.0283738,-75.1777485,,,,
Central Baptist Church Building / Pitman M.E. Church Building Site,Center City,409 S. 23rd St.,Philadelphia,PA,19146,church,fulldata_44,,,39.9507932,-75.144277,,,,
Citizens and Southern Bank,Center City,1849 South St.,Philadelphia,PA,19146,bank,fulldata_45,,,39.9419831,-75.1662805,,,,
Citizens Republican Club,Center City,422 S. 15th St.,Philadelphia,PA,19146,,fulldata_46,,,40.0480366,-75.1812138,,,,
College Settlement / W. E. B. DuBois House,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,fulldata_47,,,39.964834,-75.143959,,,,
Colored Industrial School,Center City,20th below Walnut St.,Philadelphia,PA,,school,fulldata_48,,,39.9400207,-75.1799257,,,,
Cyrus Bustill Business,Center City,210 Arch St.,Philadelphia,PA,19106,bakery,fulldata_49,,,39.9553365,-75.1946097,,,,
Douglass Hotel (Billie Holiday Residence),Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,fulldata_50,1926,1926,39.9616479,-75.2022775,,,,
Dunbar Theater / Lincoln Theater,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,fulldata_51,,,37.9365752,-87.8768004,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/The_Dunbar_Theatre_Historical_Marker_Southwest_Corner_Broad_and_Lombard_Streets_Philadelphia_PA_%28DSC_3182%29.jpg/1920px-The_Dunbar_Theatre_Historical_Marker_Southwest_Corner_Broad_and_Lombard_Streets_Philadelphia_PA_%28DSC_3182%29.jpg?20191101210248,"By Nick-philly - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=83579365",image/jpeg
Dutrieuille Catering,Center City,108 S. 18th St.,Philadelphia,PA,19103,caterer,fulldata_52,,,39.988316,-75.1802249,,,,
Elizabeth Taylor Greenfield Studio,Center City,1013 Rodman St.,Philadelphia,PA,19147,,fulldata_53,,,39.94321,-75.158547,,,,
Female Anti-Slavery Society,Center City,107 N. 5th St.,Philadelphia,PA,19106,,fulldata_54,,,39.966843,-75.145813,,https://hsp.org/sites/default/files/pas.jpg,,image/jpeg
First African Baptist Church Cemetery,Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,fulldata_55,1796,1796,39.990821,-75.168428,,,,
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,fulldata_56,,,39.963113,-75.229813,,,,
Forten School,Center City,6th and Addison Sts.,Philadelphia,PA,19147,school,fulldata_57,,,39.933744,-75.161795,,,,
"Francis ""Frank"" Johnson House",Center City,536 Pine St.,Philadelphia,PA,19106,dwelling,fulldata_58,,,39.943647,-75.151791,,,,
Fraunces Tavern,Center City,310 S. 2nd St.,Philadelphia,PA,19106,tavern,fulldata_59,,,39.949917,-75.143742,,,,
Frederick Douglass Memorial Hospital,Center City,1512 or 1522 Lombard St.,Philadelphia,PA,19146,hospital,fulldata_60,,,39.990821,-75.168428,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Frederick_Douglass_Memorial_Hospital_Historical_Marker_1526_Lombard_St_Philadelphia_PA_%28DSC_4426%29_%28cropped%29.jpg/898px-Frederick_Douglass_Memorial_Hospital_Historical_Marker_1526_Lombard_St_Philadelphia_PA_%28DSC_4426%29_%28cropped%29.jpg?20240229041440,"By NMGiovannucci - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=145928725",image/jpeg
Free African Society,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,fulldata_61,,,39.94258,-75.149553,,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,,image/jpeg
George Burrell House,Center City,1309 Lombard St.,Philadelphia,PA,19147,dwelling,fulldata_62,,,39.943947,-75.159541,,,,
George White House,Center City,1118 Rodman St,Philadelphia,PA,19147,dwelling,fulldata_63,,,39.943454,-75.160832,,,,
Gertrude E. H. Bustill Mossell House,Center City,1423 Lombard St.,Philadelphia,PA,19146,dwelling,fulldata_64,,,39.943947,-75.159541,,,,
Gil Ball Saloon,Center City,700 or 720 Lombard St.,Philadelphia,PA,19107,tavern,fulldata_65,,,39.990821,-75.168428,,,,
Gilbert Lyceum,Center City,,Philadelphia,PA,,lyceum,fulldata_66,,,39.990821,-75.168428,,,,
Grace Church Site,Center City,1518-1520 Lombard St.,Philadelphia,PA,19146,church,fulldata_67,,,39.943947,-75.159541,,,,
Grendel's Lair,Center City,500 South St.,Philadelphia,PA,19147,,fulldata_68,,,39.941747,-75.150875,,https://digital.library.temple.edu/digital/api/singleitem/image/p15037coll3/190/default.jpg?highlightTerms=Grendel%27s%20Lair,,image/jpeg
Henry Black House,Center City,612 Delancey St.,Philadelphia,PA,19106,dwelling,fulldata_69,,,39.954417,-75.229119,,,,
Historic St. George's Methodist Church,Center City,235 N. 4th St.,Philadelphia,PA,19106,church,fulldata_70,"1767, 1812",1767;1812,39.992082,-75.138301,,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,,image/jpeg
Home for the Homeless,Center City,708 Lombard St.,Philadelphia,PA,19147,,fulldata_71,,,39.94312,-75.15404,,,,
J. M. Palmer Memorial A.M.E.,Center City,22nd at South St.,Philadelphia,PA,19146,church,fulldata_72,,,39.990821,-75.168428,,,,
Jackson's Manufactory,Center City,Walnut above 10th St.,Philadelphia,PA,19107,caterer,fulldata_73,,,39.990821,-75.168428,,,,
"Jacob C. White, Jr. House",Center City,1032 Lombard St.,Philadelphia,PA,19147,dwelling,fulldata_74,,,39.943947,-75.159541,,,,
"James Forten, Sr. House / Charlotte Forten House",Center City,336 Lombard St.,Philadelphia,PA,19147,dwelling,fulldata_75,,,39.943947,-75.159541,,"https://www.philadelphiabuildings.org/pab/iiif.cfm/B9796182-2673-4873-882EF7873612AAA1/full/!600,600/0/default.jpg",,image/jpeg
Jean Pierre Burr House,Center City,5th and Spruce Sts.,Philadelphia,PA,19106,dwelling,fulldata_76,,,39.990821,-75.168428,,,,
John W. Simpson House,Center City,420 S. 7th St.,Philadelphia,PA,19147,dwelling,fulldata_77,ca. 1803,1803,39.930818,-75.156423,,,,
Joseph & Amy Cassey House,Center City,"S 4th St., between Chestnut and Market Sts.",Philadelphia,PA,19106,dwelling,fulldata_78,,,39.990821,-75.168428,,,,
Liberation of Jane Johnson,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,,fulldata_79,,,39.990821,-75.168428,,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,,image/jpeg
Liberty Bell,Center City,Independence Mall,Philadelphia,PA,19106,bell,fulldata_80,,,39.990821,-75.168428,,,,
Liberty Hall,Center City,715-717 Lombard St.,Philadelphia,PA,19147,hall,fulldata_81,,,39.943947,-75.159541,,,,
Lombard Street Riot,Center City,6th & Lombard,Philadelphia,PA,19147,,fulldata_82,n/a,,39.94258,-75.149553,,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,,image/jpeg
Mayor Richardson Dilworth House,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,fulldata_83,,,39.949982,-75.150576,,,,
Meta V. Warrick Fuller House,Center City,254 S. 12th St.,Philadelphia,PA,19107,dwelling,fulldata_84,ca. 1840,1840,39.947046,-75.161209,,,,
Octavia Hill Association,Center City,619 South St.,Philadelphia,PA,19147,,fulldata_85,ca. 1850-1880,1850;1880,39.942242,-75.153008,,,,
Octavius V. Catto House Site,Center City,814 South St.,Philadelphia,PA,19147,dwelling,fulldata_86,demolished ca. 1990,1990,39.942303,-75.156023,,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,,image/jpeg
Octavius V. Catto School Building #2,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,school,fulldata_87,,,39.943947,-75.159541,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,"By Burk & McFetridge - The Public Schools of Philadelphia: Historical, Biographical, Statistical by John Trevor Custis, Burk & McFetridge Co. Publisher, 1897 (https://archive.org/details/publicschoolsph00custgoog/), Public Domain, https://commons.wikimedia.org/w/index.php?curid=83085831",image/jpeg
ODUNDE Festival,Center City,23rd and South Sts.,Philadelphia,PA,19146,,fulldata_88,,,39.990821,-75.168428,,https://images.radio.com/aiu-media/7A0253-7ddd7024-b7ad-4e3e-bdf4-36c8124a96bd.jpg?width=800,,image/jpeg
Ohio Street School / Colored Unclassified School / Octavius V. Catto School Site #1,Center City,South St. above 10th,Philadelphia,PA,19147,school,fulldata_89,,,39.990821,-75.168428,,,,
Old St. Joseph's Church,Center City,321 Willings Alley,Philadelphia,PA,19106,church,fulldata_90,"ca. 1839; alterations 1851, 1894",1839;1851;1894,39.946819,-75.147592,,,,
Pennsylvania Abolition Society,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,,fulldata_91,,,39.990821,-75.168428,,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,,image/jpeg
Pennsylvania Hall,Center City,6th and Haines Sts.,Philadelphia,PA,,hall,fulldata_92,1838; burned 1838,1838;1838,39.990821,-75.168428,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,"By History of Pennsylvania Hall (Phila.: Mayhew and Gunn, 1838) - http://www.pfj-maritime.com/web/TheTeam/StephenPayne.aspx, Public Domain, https://commons.wikimedia.org/w/index.php?curid=22029410",image/jpeg
Philadelphia International Records,Center City,309 S. Broad St. #1,Philadelphia,PA,19107,,fulldata_93,,,39.919677,-75.170799,,,,
Philadelphia Pittsburgh Courier Offices,Center City,532 S. 15th St.,Philadelphia,PA,19146,,fulldata_94,,,39.944018,-75.167349,,,,
Philadelphia Tribune,Center City,522 S. 16th St.,Philadelphia,PA,19146,newspaper,fulldata_95,,,39.912384,-75.175282,,,,
Public Market / Market House,Center City,Market St. (Front to 9th Sts.),Philadelphia,PA,,market,fulldata_96,,,39.951207,-75.156414,,,,
Public Markets,Center City,N. 2nd St.,Philadelphia,PA,,market,fulldata_97,,,39.977244,-75.137902,,,,
Public Markets,Center City,S. 11th St.,Philadelphia,PA,,market,fulldata_98,,,39.90258,-75.169012,,,,
Public Markets,Center City,South St.,Philadelphia,PA,,market,fulldata_99,,,39.943754,-75.166382,,,,
Raspberry Street School,Center City,S. Hutchinson St.,Philadelphia,PA,19107,school,fulldata_100,,,39.9197,-75.16314,,,,
Ritz-Carlton Hotel / Girard Trust Company Building,Center City,28-48 S. Broad St.,Philadelphia,PA,19102,hotel; office building,fulldata_101,,,39.919677,-75.170799,,,,
Robert Bogle Catering Establishment,Center City,112 S. 8th St.,Philadelphia,PA,19107,caterer,fulldata_102,,,39.94909,-75.15425,,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,,image/jpeg
Robert Mara Adger House,Center City,823 South St.,Philadelphia,PA,19147,dwelling,fulldata_103,,,39.943754,-75.166382,,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,,image/jpeg
Robert Morris House / President's House,Center City,526-530 Market St.,Philadelphia,PA,19106,dwelling,fulldata_104,1767; rebuilt in 1781 after a fire; demolished 1833,1767;1781;1833,39.961497,-75.237187,,,,
Second African Presbyterian Church,Center City,619-631 Rodman St.,Philadelphia,PA,19147,church,fulldata_105,,,39.94321,-75.158547,,,,
Sigma Sound Recording Studios,Center City,212 N. 12th St.,Philadelphia,PA,19107,,fulldata_106,,,40.034767,-75.141794,,,,
St. Mark A.M.E. Church,Center City,19th below Lombard St.,Philadelphia,PA,19146,church,fulldata_107,,,39.990821,-75.168428,,,,
St. Mary's Mission for Colored People,Center City,1623-9 Lombard St.,Philadelphia,PA,19146,,fulldata_108,,,39.943947,-75.159541,,,,
St. Stephen A.M.E. Church,Center City,9th and Lombard Sts.,Philadelphia,PA,19147,church,fulldata_109,,,39.990821,-75.168428,,,,
Starr Park / Kitchens,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,fulldata_110,,,39.94258,-75.149553,,,,
